emp_length,homeownership,annual_income,verified_income,debt_to_income,credit_checks,total_credit_limit,total_credit_utilized,public_record_bankrupt,loan_purpose,loan_amount,term,interest_rate,grade,issue_month
3,MORTGAGE,90000,Verified,18.01,6,70795,38767,0,moving,28000,60,14.07,C,Mar-18
10,RENT,40000,Not Verified,5.04,1,28800,4321,1,debt_consolidation,5000,36,12.61,C,Feb-18
3,RENT,40000,Source Verified,21.15,4,24193,16000,0,other,2000,36,17.09,D,Feb-18
1,RENT,30000,Not Verified,10.16,0,25400,4997,0,debt_consolidation,21600,36,6.72,A,Jan-18
10,RENT,35000,Verified,57.96,7,69839,52722,0,credit_card,23000,36,14.07,C,Mar-18
NA,OWN,34000,Not Verified,6.46,6,42100,3898,0,other,5000,36,6.72,A,Jan-18
10,MORTGAGE,35000,Source Verified,23.66,1,291852,18916,0,credit_card,24000,60,13.59,C,Jan-18
10,MORTGAGE,110000,Source Verified,16.19,1,342336,60805,0,debt_consolidation,20000,60,11.99,B,Jan-18
10,MORTGAGE,65000,Source Verified,36.48,3,283190,69561,0,home_improvement,20000,36,13.59,C,Feb-18
3,RENT,30000,Not Verified,18.91,0,33114,17768,0,credit_card,6400,36,6.71,A,Mar-18
10,MORTGAGE,75000,Verified,10.45,4,39433,22895,1,debt_consolidation,25000,60,15.04,C,Mar-18
2,MORTGAGE,91900,Source Verified,1.82,4,450371,55939,0,other,40000,60,9.92,B,Mar-18
5,MORTGAGE,122000,Source Verified,12.06,8,263800,43686,0,debt_consolidation,16000,36,13.59,C,Feb-18
10,MORTGAGE,88000,Source Verified,3.67,6,259915,14387,0,credit_card,17000,60,9.43,B,Feb-18
NA,MORTGAGE,17000,Verified,33.98,0,74042,26483,1,debt_consolidation,3000,36,19.03,D,Jan-18
10,MORTGAGE,60000,Not Verified,38.46,0,136815,75552,0,credit_card,20000,60,19.03,D,Feb-18
NA,MORTGAGE,60000,Not Verified,31.22,4,375092,93016,0,credit_card,12000,60,19.03,D,Jan-18
3,RENT,72000,Source Verified,20.33,6,58911,54947,0,debt_consolidation,30000,60,28.72,F,Jan-18
10,MORTGAGE,210000,Verified,9.53,2,322046,73705,0,medical,5000,36,26.77,E,Feb-18
1,MORTGAGE,83000,Source Verified,18.44,1,555154,39482,0,debt_consolidation,20000,60,15.05,C,Jan-18
10,MORTGAGE,50000,Not Verified,15.6,0,70313,18128,0,credit_card,7000,36,6.08,A,Jan-18
1,MORTGAGE,42000,Source Verified,32,4,272403,47575,1,credit_card,10000,36,11.98,B,Mar-18
5,MORTGAGE,100000,Not Verified,26.53,1,566384,151251,0,debt_consolidation,21050,60,13.59,C,Feb-18
